Translated_Tweet,Suicide
شيء غريب من حيث أنني لم أستطع التوقف عن التفكير فيه لا يمكن أن ينام ثم من بعض الأوراق القديمة ، وهي بطاقة   ,Potential Suicide post 
تهانينا جون أنا ممثل زاحف وليس ممثل حلو,Not Suicide post
يتوهم هو شكرا,Not Suicide post
في الفوتوشوب,Not Suicide post
 يوم العمل العادي بالنسبة لي لا يزال لدي خطط لتقديم بعض المعلومات لـ    أفعل,Not Suicide post
 سهلة الطريقة هي الذهاب إلى  والاختراق  حصلت على   على هاتفه ,Not Suicide post
 أنا فقط لا أريد أن أكون هنا بعد الآن ، من فضلك شخص ما مجرد سخيف ينهيني لأنني أعلم أنه سيكون أسوأ للجميع إذا فعلت ذلك بنفسي وأفعى هل أريد ذلك ولكن من فضلك شخص ما يقتلني فقط من فضلك,Potential Suicide post 
أنا متعب,Not Suicide post
وصلت مجموعة مجوهرات عائلة كولين هذا الصباح,Not Suicide post
الاستعداد لنقل الأطفال إلى المزرعة,Not Suicide post
 قد يجد هؤلاء الأولاد من الصدمة أن بعضًا غريبًا على الإنترنت سيقولون أن هؤلاء الرجال,Potential Suicide post 
ستايسي على بوب أكلت سجائر الحلوى لكنني لم آكل الشمع بمجرد أن شربت فحم الكوك الذي كنت آكله شفاه الحلوى,Not Suicide post
أنا على وشك أن أكره التدخين بنفسي ، لكن في بعض الأحيان أحب ذلك لأنني لا أستطيع الانتهاء,Potential Suicide post 
سوف تحصل على بعض  سوف يعيش قبالة سحر الحظ الأسبوع المقبل ,Not Suicide post
 كما        يجب على المزيد من الناس الاستماع إلى هذه الفرقة اقتباس   ,Not Suicide post
 إنه وقت رائع في الحياة يمكننا مساعدتك في تصميم حفل زفاف مذهل,Not Suicide post
 واو واو جيدا لسماع,Not Suicide post
الشعور بالإرهاق والرغبة في الموت ، حاولت أن أقتل نفسي اليوم كل ما أردته هو صديقي لمساعدتي بطريقة ما لأنه يراني في دوامة الاكتئاب هذه ، لكن كل ما يقوللم يكن لدي أصدقاء في المنزل وأشعر باستمرار بالضعف أو غير المستحيل ، ليس لدي أي رغبة في ممارسة الجنس مع شريكي وأميل إلى العثور على الأسوأ فيه مؤخرًا ، لكن بعض الأشياء التي يقوم بها تضخّم الاكتئاب الذي لا أريد أن أموت ولكن متىلقد أصبت بالوحدة أو التغلب على واحد اعتقدت أنني لا أستطيع أن يهتز هو قتل نفسي,Potential Suicide post 
مطالبة الجميع بإرسال ردود فعل مشتركة سعيدة إلى ,Not Suicide post
كانتر وينتظر شروق الشمس في الربيع بألوان مذهلة,Not Suicide post
 جيد حتى الآن ، شكرًا لك ، أتمنى أن تعاملك جيدًا أيضًا,Not Suicide post
قد لا يكون  طيبًا لفترة من الوقت,Not Suicide post
إنه فقط هو وأنا أكملت هدفي البيع الذي أنا سعيد ,Not Suicide post
 ولكن   يريد أن يكون ميتًا ، لقد قتل الخوخ و   عادت إلى ذلك,Potential Suicide post 
  اعتنوا يا شباب,Not Suicide post
عائلتي بأكملها جميلة جدًا ولدي بداية الجيل القبيح منه وأنا أكره نفسي كثيرًا حتى لا أستطيع التعبير عنها,Potential Suicide post 
زملائي في العمل هم خنازير غينيا محظوظة لهم,Not Suicide post
اللعنة أنا أكره نفسي ,Potential Suicide post 
 لا أريده أن يتوجيه الاتهام إلى أمبير شاهد الأطفال يذهبون إلى السجن ولا أريده أن يموت لأن ,Potential Suicide post 
حسنًا ، سؤال شرعي ، هل يمكنني قتل نفسي ، لقد انتهيت من الحياة,Potential Suicide post 
     هل تغلبت على  بعد,Not Suicide post
ليكزوريتشي أتمنى أن أتغير سبب لعنة هل أكره نفسي,Potential Suicide post 
جيد ومفيدًا حقًا حول الأزمة المختلفة في عالم العاصمة ، لقد قرأتهم جميعًا,Not Suicide post
إريك بوهليرت لا شيء للعيش من أجل السبب لأنك كنت سيئة,Potential Suicide post 
قضيت ليلة جميلة مع أفضل صديق وصديقان جيدان جدًا,Not Suicide post
لقد تركتني صديقتي أنا أكره الكلية ليس لدي أي اتجاه في الحياة ، أريد فقط أن أذهب للنوم ولا أستيقظ أبدًا ، كنت أفكر في الانتحار كثيرًا في الآونة الأخيرة وطرق مختلفة ، والسبب الوحيد الذي لم أفعله حتى الآن هو أنني أكثر من اللازممن كس ، لديّ إمكانية الوصول إلى ما يكفي من المخدرات لجرعة زائدة على أن أعيش بالقرب من الكثير من المباني الطويلة ، أراها معالجًا وطبيبًا نفسيًا لقد أدى ذلك إلى تفاقم أعراضاتيأؤذي الناس من حولي ، لكن لماذا يجب أن أعيش حياتي القرف فقط ، لذا لم يزعج الآخرون أحد هذه الأيام في حالة سكر بما يكفي لسحب الزناد بشكل مجازي مجازيًا,Potential Suicide post 
كيت إدواردز ليس عليك إحضار أي شيء ، إنه مكانك ,Not Suicide post
روزي  يعتقد أنني سأصبح عازبًا إلى الأبد,Potential Suicide post 
  المكافأة,Not Suicide post
   حول  سعيد لأنك أحببت المقابلة التي أجريتها مع    هي جزء مهم من أي تدريب,Not Suicide post
 ماذا تريد أن تعرف عن   ربما يمكنني مساعدتك,Not Suicide post
أنا في المنزل من المدرسة  لم يكن بهذا السوء في الواقع وكان لدي عشاء لطيف مع ,Not Suicide post
آمل أن ينخفض مستوى التوتر الخاص بي عندما تختفي عمتي ولا أستطيع الاسترخاء ولا أستطيع التركيز على السد ,Potential Suicide post 
 صديق عرفته على الإنترنت من الليلة الماضية أضافني أخيرًا على رسوله,Not Suicide post
لقد عطست للتو مرتين أعتقد أن هناك شبحًا واحدًا على الأقل في منزلي الآن,Not Suicide post
أ,Not Suicide post
  احصل على كل ضغوطك ,Not Suicide post
 أضيفت للتو أكثر قليلاً من الطاحونة,Not Suicide post
  تريد أن يتم حساب كل تصويت بغض النظر عما إذا كان الناخب قد انتقل إلى منطقة مختلفة,Potential Suicide post 
 لدينا نطاق حافي القدمين هو بديل رائع عندما تحتاج إلى ارتداء أحذية ، فإنك تسمح لك بالتحرك في القدم كما لو كانت حافي القدمين,Not Suicide post
لا توجد امتيازات لكوني قبيحًا ، فأنا أستحق جائزة أو شيء ما على الأقل إذا كنت سأموت وحدي,Potential Suicide post 
سأل معلق عشوائي   لماذا كان لدي أجندة محارب اجتماعي متطرف في   ما يسميه  اجتماعي متطرف,Potential Suicide post 
إن شوط عمل الثلاثاء الذي يركب أعلى من التمرين الليلة الماضية ، يجب أن يكون يومًا جيدًا,Not Suicide post
من المحزن للغاية أنني لا أستطيع حماية هذه القطط ولا أعرف ما الذي يزعجهم من أي وقت مضى ولا أعرف لماذا هذه الأشياء لها ,Potential Suicide post 
لم أذهب إلى الحرب أبدًا ، لكنني أحصل على كوابيس فظيعة توقظني القتال من أجل حياتي ، هذا هو الولايات المتحدة اضطراب ما بعد الصدمة,Potential Suicide post 
  ,Not Suicide post
طيب هذا العشاء هز,Not Suicide post
عالقة في كل مرة أحاول فيها أن أقتل نفسي لا أستطيع المضي قدمًا فيها ، لكنني لا أستطيع الاستمرار في العيش بهذه الطريقة لماذا لا أتمكن من السماح لنفسي بالموت,Potential Suicide post 
اللعنة أنا أكره عندما أكتب بسرعة كبيرة وتتغيرات التصحيح التلقائي تمر دون أن يلاحظها أحد على نفسي ,Potential Suicide post 
   تفعل أفضل ,Not Suicide post
   تعيش أفضل حياتك,Not Suicide post
كل ما أريده هو الحقيقة,Not Suicide post
 نحن لسنا صاخبة في العمر هنا طالما أن الإناث بيني غيرت القواعد لول,Not Suicide post
أنا فقط سأمضي قدماً وأقتل نفسي بالفعل في يوم سخيف,Potential Suicide post 
لا أستطيع الانتظار حتى تموت أمي ، كل ما أنتظره هو أن تموت ثم سأستلقي تحت القطار في ذلك اليوم بالذات ولا يمكن أن تنتظر  ، وسأقتلها لتتمكن من قتل نفسي عاجلاً ولكننا في اثنينعلاقة حميمة للغاية باختصار ، لا أستطيع قتل بنادقها ممنوعة في بلدي ، لقد حصلت على سكين فقط أو لبنة للقيام بذلك ، لذلك لا يمكنني فعل ذلك ، طريقة دموية وبطيئة للغاية لا يمكن أن تفعل أي شيءرائحة بشرية بكل أشكالها باستثناء تقلصات داشاس ، أكره جسدي ، أكره الشرايين أن الأنف والشفاه واللعاب والعيون وكل ما أكرهه من جسم الإنسان باستثناء داشاس واحد أريد أن أمارس الجنس معهم وأكون مع داشا,Potential Suicide post 
  أعتقد أنه يجب عليك الحصول على أثيني وبقية الطاقم على ,Not Suicide post
  حصلت على الموافقة المسبقة عن علم في غرفة الخادم,Not Suicide post
وداعا ذاهب للنوم أخيرًا   ,Not Suicide post
العمل على فيلم كان مشغولاً أتمنى لك يومًا سعيدًا للجميع,Not Suicide post
أريد أن أموت أين يمكنني الذهاب للانتحار ، أعطني حقنة لأنني غير واعي وإنهاء حياتي الكابوس أريد أن أموت,Potential Suicide post 
أريد أن ألعب معها,Not Suicide post
شكراً للجميع الذين أرسلوا لي العمل هذا العام ، سترغب في معرفة أنني زرعت للتو الأشجار في الهند مع بعض الأرباح ,Not Suicide post
هذا هو إشعاري لي أن أتخلى عن الحياة في أن أصبح مدمنًا على الكحول ،,Potential Suicide post 
يتم تحديث  الجديد بالكامل من الشمس المشرقة في   يومًا جميلًا,Not Suicide post
اريد ان اكون طبيبا,Not Suicide post
توم فيلتون كاش في العلية على ما يرام ، أفضل المنازل تحت المطرقة هاها ، أحب أن أكون خارج المدرسة,Not Suicide post
سأركب سيئًا إلى  في أي يوم ، لكن في نهاية اليوم ، أعرف بالفعل أين يمكن للشوارع أن تأخذك أمب  ما هو ,Potential Suicide post 
أريدها,Not Suicide post
  جيدًا مقارنةً بالمناطق الأخرى غربنا ، سآخذ شهاداتنا وأركض معها,Not Suicide post
  أنا غيور جدًا من فضلك خذني معك,Not Suicide post
   لا أريد أن أكون هنا بعد الآن,Potential Suicide post 
خائف من الموت تعبت من العيش,Potential Suicide post 
   أخذ كل شيء مرة أخرى كان ممتعا ,Not Suicide post
كان لدي ما يكفي من الحياة والألم الذي يسببه,Potential Suicide post 
يا إلهي لا أستطيع,Potential Suicide post 
   أنا أحب وشم  الخاص بك هل تألم الأمر وأعتقد أنني سأحصل عليه,Not Suicide post
 رعاية  أنا حرفيا لا أستطيع أن أشرح كل شيء حدث الكثير ، لا أريد أن أكون هنا بعد الآن  هي حتى النقطة التي أنا حرفيا ,Potential Suicide post 
انا اريده,Not Suicide post
كان لديك صندوق عصير هذا الصباح لا تعرف أبدًا الفرح الذي يمكن أن يجلبه صندوق العصير حتى يكون لديك واحدة في وقت لاحق في الحياة,Not Suicide post
لم تكن تريده أن يخرج مع نساء أخريات,Not Suicide post
موسيقى  ، مرحبًا,Not Suicide post
ملف تعريف الارتباط رائع لا يمكن الانتظار لرؤيته,Not Suicide post
قلبي محطم جدا,Potential Suicide post 
   منخفض جدًا ، لذا ، فإن بطاقة الائتمان جاهزة جاهزة,Not Suicide post
لقد تغيرت إلى الأسوأ اللعين ، ولا أستطيع أن أصدق أنه يمكنك العودة حقًا إلى كل عملك الشاق من هذا القبيل,Potential Suicide post 
ليس فقط لأن المنزل لم يكن لديه امرأة سوداء في القيادة ولكن لأن ,Not Suicide post
    هنا معي وأرد فقط أن أقول مرحبًا وأتمنى لك صباحًا رائعًا,Not Suicide post
  ,Not Suicide post
 ثورة في المنظفات المنزلية التي تقدم أطفالًا يحصلون على واحدة الآن بينما تستمر الأسهم,Not Suicide post
كل ما حلمت به,Potential Suicide post 
 تهانينا    ودعم   ,Not Suicide post
الذهاب إلى السرير ,Not Suicide post
الذهاب إلى المدرسة والاستمتاع بيومي الأخير عندما كان عمري عام ولكن أيضًا,Not Suicide post
قد يساعد   ليس عصير الجزرة الجيد و  على الخبز المحمص,Not Suicide post
أنا متعب ومرض من كل شيء أريد أن أموت ,Potential Suicide post 
    كان له تأثير أكثر على حياتي المهنية وكل ما نقوم به في   من    يترك ,Not Suicide post
منذ أشهر توفيت جدتي منذ أشهر ، لقد كسرت قلبي منذ أشهر تقريبًا,Potential Suicide post 
هذا  قد سئمت حقًا من كل شيء ، كل شيء عرجاء ومثلي الجنس لا شيء جاد لنا على الإطلاق,Potential Suicide post 
محاولة معرفة كيف يعمل هذا,Not Suicide post
حياتي بائسة,Potential Suicide post 
الموقف العقلي الإيجابي اليوم لا يمكن أن يكون سيئًا مثل الأمس,Not Suicide post
صباح الخير جميعا,Not Suicide post
اكتشفت للتو أن آمي لديها فتاة ليل بونيتا أنا متحمس للغاية الآن يمكنني أن أذهب من خلال القليل من الأشياء,Not Suicide post
أنا مندهش باستمرار من تقنيتنا ، مما يجعلني أتساءل الآن تحقق من أغنية  هذه,Not Suicide post
اللعنة أنا أكره نفسي,Potential Suicide post 
تحاضن في السرير مع بيبي,Not Suicide post
   مبكرًا بالنسبة لي أمبير ، أشعر وكأنني أذرع مفتوحة مرة أخرى بواسطة  ,Not Suicide post
  ليس أفضل عميل  بالنسبة لي ، إنه البساطة والألين التي تجعلني أحب ذلك,Not Suicide post
  نعم كنت ولكن تحديثاتهم كانت مملة لي ، لذا فإن  سيتعين عليك الفوز وأخذني في عطلة,Not Suicide post
يمكن أن يكون ليزيلب قد نشأت في ظهري ثم سقطت جميعها,Not Suicide post
    يا له من يوم ممتع ,Not Suicide post
  سأقرأه حتى كان سباق الماراثون ، دعنا نقول فقط أنا سعيد لأنها انتهت لول,Not Suicide post
الضحك هو في الواقع أفضل دواء مهما كان وضعك اليوم سبب الابتسامة بكل إخلاص أن الله هو   ,Not Suicide post
 يريدون أشخاص مثلي ميتين لا يريدون مساعدتي إذا كنت في كندا إسرائيل أو ألمانيا ،,Potential Suicide post 
استمتعت بأزعج  الليلة الماضية وانتهى مبكرًا وهو دائمًا مكافأة,Not Suicide post
أعتقد أنها الليلة لأنني لا أهتم ولم يتبق لدي شيء لا يهمني ، لقد كان لدي شيء رائع للغاية ووعدهم وتجاهلها عبر العظم في شظايا ثم غاضب على الشظايا التي لا أريد السعادة لا أريد أحلامًا لا أهتم بذلكإذا قمت بنشر ملاحظة ، فسيحاول الجميع أن يوقفوا عني ، فأنا أعلم أنهم يهتمون عندما أكون على وشك أن أموت أو ميتًا ، فأنا لم أعد خائفًا والأذى كثيرًا ، يجب أن أذهب لم يكن لدي شيء لم يتبق منه الكثيرمن الحب أن أعطي ولكن ذهب معي أنا فقط أردت أن يسمعني شخص ما قبل النهاية,Potential Suicide post 
  لا تتعلق أبدًا لأن الناس يستيقظون بمشاعر مختلفة كل يوم,Potential Suicide post 
هل شعرت أبدًا بالفراغ واضطررت إلى اختيار رقم من الاعتماد على ما تشعر به حيال ذلك ، يمكنني كتابة خطاب الجنازة الآن ولكن ما هو الفائدة في السنوات التي أنسى فيها على أي حال,Potential Suicide post 
لا يفعلونهم في مقاسي كيف ص,Not Suicide post
لقد تساقطت الثلوج بشكل جيد ، فلا يكفي لبناء فاترة ولكنها تساقطت الثلوج طالما أن البرودة قد تستمتع بالثلوج أيضًا يومك,Not Suicide post
 ايم حزين لأنني ما زلت أرى تغريدات حول غير مرئي وحقيقة أنها كانت مذكرة انتحارية ومثلما أنا بالفعل ,Potential Suicide post 
  أنا أكره الشعور بالطريقة التي أفعلها,Potential Suicide post 
سعيد لرؤية الربيع يعود إلى دنفر اليوم,Not Suicide post
     يعرض  بينما كنت نائمًا رائعًا,Not Suicide post
  أعتقد أن الذهاب إلى جانب الجانبي هو الأفضل حقًا عند تفادي الرصاص,Not Suicide post
لقد انتهيت من ذلك اليوم كما أريد فقط أن أقتل نفسي,Potential Suicide post 
 إذا كان لديك أي أسئلة ، فلا تتردد في مراسلتنا عبر البريد الإلكتروني على  أو إرسال  على ,Not Suicide post
لقد مر ما يقرب من ثلاث سنوات ولكني ما زلت أشعر أن كيلوبن سولو لا يستحق الخلاص الذي قتله الرجل,Potential Suicide post 
حسنًا ، هذا ل  لـ  ولرافنكلو للأسف ، سأضطر إلى قطع هذه العزف ,Potential Suicide post 
الخفافيش أفهم نفسي وأعتقد أن الآخرين يعتقدون أنني أكره نفسي أيضًا أنا فقط,Potential Suicide post 
 مرحبًا ، أرسل لك ,Not Suicide post
 أنت تجعل الحليب يبدو جيدًا حقًا في صورك,Not Suicide post
  أحب هذه الصورة تمامًا هل تغنيها باللغة الفنلندية,Not Suicide post
جوناثانرينايت,Not Suicide post
كاثرين ماركى هذا جميل,Not Suicide post
سوف تزهر  تمامًا بعد كل المصاعب التي أحبك,Not Suicide post
   آسف جدًا ، حاول ألا أتركها تصل إليك كثيرًا ، من الواضح أنها لم تستحقك في أول ,Potential Suicide post 
عرض    يوم الخميس,Not Suicide post
ماثيو تيرنبول هو أن بي توني برايس موجود هنا أيضًا كما هو الحال,Not Suicide post
مرحبًا يا  مرحبًا بكم في    إلى ,Not Suicide post
  كانت تجربة لا تحتاج إلى رؤية تكرارها مرة أخرى سعيدة لأنه بخير,Not Suicide post
من السهل على محمل الجد تضمين تقويم  في موقع ما,Not Suicide post
أموت قليلاً في الداخل عندما أرى شخصًا عجوزًا يأكل بمفرده في مطعم,Potential Suicide post 
أكره تكرار نفسي مثل اللعنة,Potential Suicide post 
ينفد من الخيار ، إنه أمر مؤلم جسديًا للتنفس ليس لدي أي حلم أو طموح أو دافع ، لقد حاولت كل ذلك كله إلى المستشفىاذهب إلى المخدرات والشراب أو أيا كان اللعنة تركني هنا بلا شيء ، لذلك لا أستطيع على الأقل التحدث معها بعد الآن حول ما أشعر أنه يؤلمني الكثير من الألم ولماذا لا أعرف لماذا ولدت لأعاني مثلهذا إذا كان الله حقيقيًا ، فهو يريدني ميتًا وأفعل أيضًا,Potential Suicide post 
كلمات,Not Suicide post
    على الرغم من أننا لا نريد أيضًا أن نعرف أننا نعتقد أيضًا أنك لم تعد هنا ونعلم أنه يجب علينا أن نكون,Potential Suicide post 
 الذي هو رائع جدا للمؤشرات للمشاركة,Not Suicide post
ظهر جاكسونوانج لأول مرة على   في هذا الأسبوع,Not Suicide post
 دعني أكره نفسي الله اللعين اللعنة عليه,Potential Suicide post 
مع    سيكون مشمسًا و       ,Not Suicide post
 أنا الثاني على ذلك إيان شكرا لك,Not Suicide post
في الواقع ، فإن وسائل التواصل الاجتماعي لا تهتم بالصحة العقلية مان أو لا تريد أن تتحدث عنها حتى يتولى أن يكون حقيقيًا,Potential Suicide post 
ليس كل شيء ذهب,Not Suicide post
أصبحت ساخنة مثل الأيام المستمرة تستريح بشدة على الزهور المتعبة,Potential Suicide post 
  اعتدنا أن يكون لدينا واحد ولكن الحفاظ على حيوان بري حي في قفص محاط بصراخ ,Potential Suicide post 
لقد سئمت من كل شيء يمكن أن أموت,Potential Suicide post 
ما زلت أستمع إلى بعض الموسيقى الرائعة التي حصلت عليها بالأمس   رائع,Not Suicide post
الذهاب إلى الرعاية النهارية ، يجب أن ترى هانا ، يجب أن يكون هذا يومًا جيدًا وآمل ذلك على أي حال,Not Suicide post
 أشعر بالسوء على مشاركتي التالية تقريبًا,Not Suicide post
  شكرًا بالتأكيد أفضل مما كان عليه في منتصف يوم أمس في وقت ما كنت أتجول مثل  من  ,Not Suicide post
 مرحبًا بك في  ، أحب اسمك لأنه ممتع ولكن يمكن أن تحصل على الإدمان الفائق,Not Suicide post
ليندسي لوبو كيف عرفت أنني أحبها,Not Suicide post
كل يوم يقتربني من الموت ، أنا طالب عمري ، أريد أن أقتل نفسي أمر لا يطاق ، ليس لدي مهارات وليس مواهب وأنا شخص ممل تمامًا ، لذا أقضي معظم وقت فراغي وحدي ، أريد حقًا العثور على صديقةلكنني لا أرى أي طريقة يمكنني أن أجد واحدة عندما أكون عديمة الفائدة مثل هذا اعتدت أن أذهب بعيدًا عن الحزن من خلال الاستماع إلى الموسيقى ، لكن في هذه الأيام أشعر بالملل من الموسيقى وأريد فقط الذهاب إلى النوم ولا أستيقظ أبدًا,Potential Suicide post 
 هل يمكنني الحصول على الغيوم الخاصة بك قد جاءت في أخشى أنني قد أتأخر جدا للاستمتاع بالطقس,Not Suicide post
  الرائع لسماع الشكر شريحة,Not Suicide post
   دمرت تمامًا من الحرائق التي تؤثر على مجتمعي ، فأنا أحد المحظوظين الذين صنعوا حيواناتي وحب حياتي ,Not Suicide post
كان البوب جيد جدا,Not Suicide post
 أنا أترك الكمبيوتر المحمول في المنزل سوء التعرض مع  يمكنني الحصول على  على  الأصدقاء الجدد يمكن أن يرسل لي دائما ,Not Suicide post
الحمد لله على أن ينام  وأخذ  إلى الرعاية النهارية,Not Suicide post
لا أعرف لماذا ما زلت أحاول أن أجرب حياتي في المنزل كانت دائمًا سامة بشكل لا يصدق وكان والداي دائمًا مساهمين رئيسيين في الاكتئاب والقلق ، أشعر أنني شخص لا قيمة له أنني لا أملك وظيفة ولا أفعل أي شيء ولدي أي شيءلا يوجد حافز حتى لمغادرة المنزل ناهيك عن سريري طوال حياتي ، كما استمر هذا القرف مثل هذا ، وأحيانًا أنظر إلى كل حبوب منع الحمل التي يجب أن أتناولها ونفكر في مجرد دفع حفنة في فمي وإنهاءها إلا أكثر ولكن معظم الحبوبفي الوقت الذي أكذب فيه على سريري وأتمنى أن أموت دون الحاجة إلى قتل نفسي لأنني جبان ، لقد سئمت من سماع أن الأمور ستحسن,Potential Suicide post 
ليلة مذهلة و  الرائعة أحب أعقابي,Not Suicide post
تعبت من الحياة المعيشة مع الخوف من عدم إعجابك بذلك الآن على اللعنة ، أنا حقا ليفين الآن الناس,Potential Suicide post 
